#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WELCOME_HEADER;Welcome to Crusader Kings II;Bienvenue à Crusader Kings II;Willkommen zu Crusader Kings II;;Bienvenido a Crusader Kings II;;;;;;;;;x
EVTDESC_CM_6303;Late one evening, as you are sitting in your hiding place, contemplating your situation, there is a sound just outside. You look up, and to your astonishment see one of the guards falling through the door, stabbed in the neck. A creature clad in black enters and walks silently but swiftly towards you. As you rise to challenge him, he makes a swift movement and you feel a sharp pain in your chest. You look down and see a dagger lodged between your ribs. Your legs start to buckle underneath you, and your vision starts to blur...;Un soir, tard, alors que vous vous trouvez dans votre cachette à vous lamenter sur votre sort, un bruit se fait entendre dehors. Vous levez la tête et à votre plus grande surprise, vous voyez l'un des gardes tomber, poignardé à la gorge. Un homme vêtu de noir entre dans la pièce et s'avance silencieusement vers vous. Tandis que vous vous levez pour lui faire face, il esquisse un geste rapide et précis, et vous sentez une vive douleur au torse. Vous baissez les yeux et voyez une dague plantée entre vos côtes. Vos jambes se dérobent sous votre poids et votre vue se brouille...;Spät an einem Abend sitzt Ihr in Eurem Versteck und denkt über Eure Lage nach, als Ihr draußen  ein Geräusch hört. Ihr blickt auf und seht zu Eurem Entsetzen, dass eine der Wachen mit einem Messerstich im Nacken durch die Tür hereinfällt. Ein schwarz gekleideter Mann tritt ein und kommt lautlos, aber rasch auf Euch zu. Ihr springt auf, um Euch zu verteidigen, doch da spürt Ihr schon einen stechenden Schmerz in der Brust. Ihr blickt hinunter und seht einen Dolch zwischen Euren Rippen stecken. Eure Knie geben nach, das Bild vor Euren Augen verschwimmt...;;Al final de un atardecer, mientras estás sentado en tu lugar oculto contemplando tu situación, oyes un ruido en la parte de afuera. Miras hacia arriba y para tu asombro ves a uno de los guardias cayendo bajo el umbral de la puerta, con un puñal en el cuello. Un hombre vestido de negro entra y camina silenciosa pero rápidamente hacia ti. En el momento en que te levantas para retarle, hace un rápido movimiento y sientes un agudo dolor en el pecho. Miras hacia abajo y ves una daga alojada entre tus costillas. Tus piernas empiezan a ceder y tu visión va haciéndose borrosa...;;;;;;;;;x
EVTOPTA_CM_6303;Aaargh...;Aaargh...;Aaargh...;;Aaargh...;;;;;;;;;x
EVTDESC_CM_6304;News reach you that the plot to murder [From.GetTitledName] has met with success. [From.GetTitledName] has fallen victim to the assassin's knife. The plotters behind it have not been revealed.;On vous apprend que le complot pour tuer [From.GetTitledName] a été un franc succès. [From.GetTitledName] a péri sous la lame de l'assassin. On ignore l'identité des conspirateurs.;Euch erreicht die Nachricht, dass Euer Plan, [From.GetTitledName] zu ermorden, erfolgreich war. [From.GetTitledName] ist durch Mörderklinge gefallen. Die Auftraggeber des Mordes sind unbekannt. ;;Te han llegado noticias de que el complot para asesinar [From.GetTitledName] se ha llevado a cabo con éxito. [From.GetTitledName] ha caído víctima del asesino del cuchillo. Los conspiradores que hay detrás de esto no han salido a la luz.;;;;;;;;;x
EVTOPTA_CM_6304;Excellent!;Parfait !;Ausgezeichnet!;;¡Excelente!;;;;;;;;;x
EVTDESC_CM_6306;News reach you that the plot to murder [From.GetTitledName] has met with success. [From.GetTitledName] has fallen victim to the assassin's knife. Unfortunately, the assassin was caught and revealed who ordered the murder.;On vous apprend que le complot pour tuer [From.GetTitledName] a été un franc succès. [From.GetTitledName] a péri sous la lame de l'assassin. Malheureusement, le tueur s'est fait arrêter et a révélé l'identité du commanditaire.;Euch erreicht die Nachricht, dass Euer Plan, [From.GetTitledName] zu ermorden, erfolgreich war. [From.GetTitledName] ist durch Mörderklinge gefallen. Bedauerlicherweise wurde der Mörder gefasst und hat seinen Auftraggeber verraten.;;Te han llegado noticias de que el complot para asesinar [From.GetTitledName] se ha llevado a cabo con éxito. [From.GetTitledName] ha caído víctima del asesino del cuchillo. Desgraciadamente, el asesino ha sido capturado y ha revelado quién ordeno el asesinato.;;;;;;;;;x
EVTOPTA_CM_6306;I see.;C'est fâcheux…;Verstehe.;;Ya veo.;;;;;;;;;x
EVTDESC_CM_6307;Late one evening, as you are sitting in your hiding place, contemplating your situation, you suddenly hear a sound just outside your room. You look up, and to your astonishment see one of the guards falling through the door, stabbed in the neck. A creature clad in black enters and walks silently but swiftly towards you. As you rise to challenge him, he suddenly stops with a surprised face. He slowly falls into your arms, blood pouring from his mouth. Behind him you see one of your guards, wounded but with sword in hand. You have narrowly escaped a dread fate.;Un soir, tard, alors que vous vous trouvez dans votre cachette à vous lamenter sur votre sort, un bruit se fait entendre dehors. Vous levez la tête et à votre plus grande surprise, vous voyez l'un des gardes tomber, poignardé à la gorge. Un homme vêtu de noir entre dans la pièce et s'avance silencieusement vers vous. Tandis que vous vous levez pour lui faire face, il s'arrête brutalement, l'air étonné. Doucement, il s'écroule dans vos bras, du sang s'écoulant de sa bouche. Derrière lui, vous apercevez l'un de vos gardes, blessé, mais son épée toujours à la main. Vous remerciez [Root.Religion.RandomGodName] de vous avoir laissé la vie sauve.;Spät an einem Abend sitzt Ihr in Eurem Versteck und denkt über Eure Lage nach, als Ihr draußen  ein Geräusch hört. Ihr blickt auf und seht zu Eurem Entsetzen, dass eine der Wachen mit einem Messerstich im Nacken durch die Tür hereinfällt. Ein schwarz gekleideter Mann tritt ein und kommt lautlos, aber rasch auf Euch zu. Ihr springt auf, um Euch zu wehren, da bleibt er plötzlich stehen, Erstaunen in seinem Blick. Er sinkt langsam in Eure Arme, Blut quillt ihm aus dem Mund. Hinter ihm steht eine Eurer Wachen, verletzt, doch mit dem Schwert in der Hand. Ihr dankt [Root.Religion.RandomGodName], dass Ihr noch einmal davongekommen seid.;;Al final de un atardecer, mientras estás sentado en tu lugar oculto contemplando tu situación, oyes un ruido en la parte de afuera. Miras hacia arriba y para tu asombro ves a uno de los guardias cayendo bajo el umbral de la puerta, con un puñal en el cuello. Un hombre vestido de negro entra y camina silenciosa pero rápidamente hacia ti. En el momento en que te levantas para retarle, él se para haciendo una mueca de sorpresa. Lentamente cae entre tus brazos, escupiendo sangre por la boca. Detrás de él ves a uno de tus guardias, herido pero espada en mano. Agradeces a [Root.Religion.RandomGodName] tu salvación.;;;;;;;;;x
EVTOPTA_CM_6307;I will find those behind this!;Je trouverai ceux qui ont commandité mon assassinat !;Ich kriege die, die dahinter stecken!;;¡Encontraré a aquellos que están detrás de esto!;;;;;;;;;x
EVTDESC_CM_6308;It seems the assassin's knife failed to find [From.GetTitledName]. The instigators of the plot were not revealed, however.;Il semble que [From.GetTitledName] a échappé à la lame de l'assassin. L'identité des instigateurs du complot demeure inconnue, toutefois.;Es scheint, dass die Klinge des Mörders [From.GetTitledName] verfehlt hat. Die Auftraggeber des Anschlags aber bleiben unbekannt. ;;Parece que el asesino del cuchillo no ha conseguido encontrar a [From.GetTitledName]. De todos modos, los instigadores de la conspiración no han sido revelados.;;;;;;;;;x
EVTOPTA_CM_6308;We will get [From.GetHerHim] next time.;Nous finirons par avoir sa peau.;Das nächste Mal kriegen wir [From.GetHerHim].;;La próxima vez [From.GetHerHim] atraparemos.;;;;;;;;;x
EVTDESC_CM_63099;It seems the assassin's knife failed to find [From.GetTitledName]. To make things worse, the assassin was caught and revealed who ordered the murder.;Il semble que [From.GetTitledName] a échappé à la lame de l'assassin. Et pour ne rien arranger, le tueur a été arrêté et a dévoilé le nom des conspirateurs.;Es scheint, dass die Klinge des Mörders [From.GetTitledName] verfehlt hat. Schlimmer noch, der Killer wurde gefasst und hat seinen Auftraggeber verraten.;;Parece que el asesino del cuchillo no ha conseguido encontrar a [From.GetTitledName]. Y para empeorar las cosas, el asesino ha sido capturado y ha revelado quien ordenó el asesinato.;;;;;;;;;x
EVTOPTA_CM_63099;Curses!;Malédiction !;Verflucht!;;¡Maldición!;;;;;;;;;x
EVTDESC_CM_6310;My [Root.GetLordLady], an opportunity has arisen in your plan to rid yourself of [Root.PlotTarget.GetTitledName]. We have found out who delivers food to [Root.PlotTarget.GetHerHis] hiding place, and there is a possibility that we might bribe them to poison [Root.PlotTarget.GetHerHim]. How shall we proceed, my [Root.GetLordLady]?;Notre [Root.GetLordLady], sachez que l'opportunité de vous débarrasser de [Root.PlotTarget.GetTitledName] est sur le point de se présenter. Nous savons qui sont chargés de livrer des vivres à la cachette de [Root.PlotTarget.GetTitledName] et nous pourrions soudoyer ces personnes pour qu'elles l'empoisonnent. Comment devons-nous procéder, notre [Root.GetLordLady] ?;Mein(e) [Root.GetLordLady], es hat sich für Euren Plan, [Root.PlotTarget.GetTitledName] loszuwerden, eine Möglichkeit ergeben. Wir haben herausgefunden, wer [Root.PlotTarget.GetHerHis] das Essen ins Versteck bringt, und können sie vielleicht bestechen, sodass sie die Speisen vergiften. Wie sollen wir verfahren?;;Mi [Root.GetLordLady], ha surgido una oportunidad en sus intenciones de librarse de Root.PlotTarget.GetTitledName]. Hemos averiguado quiénes sirven la comida en [Root.PlotTarget.GetHerHis] lugar oculto y cabe la posibilidad de sobornarlos para envenenar[Root.PlotTarget.GetHerHim]. ¿Cómo debemos proceder, mi [Root.GetLordLady]?;;;;;;;;;x
EVTOPTA_CM_6310;Bribe them to poison [Root.PlotTarget.GetTitledFirstName].;Soudoyez-les pour qu'elles empoisonnent [Root.PlotTarget.GetTitledFirstName].;Bestecht sie, um [Root.PlotTarget.GetTitledFirstName] zu vergiften.;;Sobornarlos para envenenar a [Root.PlotTarget.GetTitledFirstName].;;;;;;;;;x
EVTOPTB_CM_6310;Make it a huge bribe.;Offrez-leur un pot-de-vin conséquent.;Zahlt richtig viel.;;Hacer un enorme soborno.;;;;;;;;;x
EVTOPTC_CM_6310;This is not the way to go.;Ce n'est pas ainsi que je souhaite agir.;Das ist nicht der richtige Weg.;;Éste no es el camino que debemos tomar.;;;;;;;;;x
EVTDESC_CM_6311;It seems as though [From.GetTitledName] has found an opportunity to poison [From.PlotTarget.GetTitledName] by bribing those who deliver the food to [From.PlotTarget.GetHerHim].;Il semble que [From.GetTitledName] a trouvé le moyen d'empoisonner [From.PlotTarget.GetTitledName] en soudoyant les personnes chargées de lui livrer ses vivres.;Es scheint, dass [From.GetTitledName] eine Chance gefunden hat, [From.PlotTarget.GetTitledName] zu vergiften, indem man die Leute besticht, die [From.PlotTarget.GetHerHim] das Essen bringen.;;Parece que [From.GetTitledName] ha encontrado la oportunidad de envenenar a [From.PlotTarget.GetTitledName] sobornando a aquellos que sirven la comida a  [From.PlotTarget.GetHerHim].;;;;;;;;;x
EVTOPTA_CM_6311;Excellent!;Parfait !;Ausgezeichnet!;;¡Excelente!;;;;;;;;;x
EVTTITLE_CM_6313;A bitter aftertaste;Un arrière-goût amer;Ein bitterer Nachgeschmack;;Un regusto amargo;;;;;;;;;x
EVTDESC_CM_6313;You are sitting dining by yourself in your hiding place. The cheese is excellent, the grapes are delightful. You take a sip of your drink, closing your eyes and savoring the sensation, imagining that you are at a jovial feast. Time to try the soup.. aah it's good, very good. But that hint of a bitter taste, what is it? Oh... suddenly a pain grips your limbs. This is not good...;Vous vous apprêtez à dîner dans votre cachette. Le fromage est excellent, le raisin délicieux. Vous prenez une gorgée de votre breuvage, fermez les yeux pour en apprécier tous les arômes et vous imaginer en plein banquet. Il est temps de goûter la soupe... Hmm, quel délice ! Mais quel est donc ce petit arrière-goût amer ? Oh... Soudain, une douleur foudroyante vous paralyse les membres... Ce n'est pas bon signe.;Ihr sitzt in Eurem Versteck alleine beim Essen. Der Käse ist exzellent, die Trauben sind süß und aromatisch. Ihr nehmt ein Schluck aus dem Glas, schließt die Augen, schmeckt den Wein und stellt Euch vor, wie Ihr an einer Festtafel sitzt. Zeit, die Suppe zu probieren... ahh, sie ist wirklich gut, sehr gut sogar. Doch dieser kaum spürbare Nachgeschmack, was ist denn das? Oh... Schmerz zuckt durch Eure Glieder. Das ist nicht gut...;;Estás cenando solo en tu escondite. El queso es excelente, las uvas están deliciosas. Haces un sorbo de tu bebida, cierras los ojos y saboreas la sensación imaginándote que estás en un gran banquete. Llega el momento de tomar la sopa... ¡ah! está buena, muy buena. Pero hay un rastro de sabor amargo, ¿Qué será? Oh... de repente un dolor arranca en tus extremidades. Esto pinta mal...;;;;;;;;;x
EVTOPTA_CM_6313;Aaargh...;Aaargh...;Aaargh...;;Aaaah...;;;;;;;;;x
EVTDESC_CM_6314;News reach you that the plot to murder [From.GetTitledName] has met with success. [From.GetTitledName] has fallen victim to the poison in [From.GetHerHis] food. The plotters behind it have not been revealed.;On vous apprend que le complot pour tuer [From.GetTitledName] a été un franc succès. [From.GetTitledName] a péri en avalant des vivres empoisonnés. L'identité des conspirateurs demeure inconnue.;Euch erreicht die Nachricht, dass Euer Plan, [From.GetTitledName] zu ermorden, erfolgreich war. [From.GetTitledName] ist durch das Gift in [From.GetHerHis] Essen gestorben. Die Auftraggeber des Mordes sind unbekannt.;;Te llegan noticias de que el complot para asesinar [From.GetTitledName]  tuvo éxito. [From.GetTitledName] ha sido víctima del veneno que se puso en [From.GetHerHis] comida. No se han revelado los nombres de los conspiradores.;;;;;;;;;x
EVTOPTA_CM_6314;Excellent!;Parfait !;Ausgezeichnet!;;¡Excelente!;;;;;;;;;x
EVTDESC_CM_6316;News reach you that the plot to murder [From.GetTitledName] has met with success. [From.GetTitledName] has fallen victim to the poison in [From.GetHerHis] food. The plotters behind it have not been revealed. Unfortunately, the cook was caught and revealed who ordered the murder.;On vous apprend que le complot pour tuer [From.GetTitledName] a été un franc succès. [From.GetTitledName] a péri en avalant des vivres empoisonnés. L'identité des conspirateurs demeure inconnue. Malheureusement, le cuisinier a été arrêté et a dévoilé l'identité du commanditaire.;Euch erreicht die Nachricht, dass Euer Plan, [From.GetTitledName] zu ermorden, erfolgreich war. [From.GetTitledName] ist durch das Gift in [From.GetHerHis] Essen gestorben. Bedauerlicherweise wurde der Koch erwischt und hat den Auftraggeber des Mordes verraten.;;Te llegan noticias de que el complot para asesinar [From.GetTitledName]  tuvo éxito. [From.GetTitledName] ha sido víctima del veneno que se puso en [From.GetHerHis] comida. No se han revelado los nombres de los conspiradores. Desafortunadamente, arrestaron al cocinero y éste reveló quién dio la orden de poner el veneno.;;;;;;;;;x
